Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	EpochS
10	35.930637	55.277996	104.68493	-180.59126	-1987.6764	1261.354	-6.345032	-7627.0493	224.98077	-42055730.0	-19.11624	-19.343124	24.024176	31.452356	-33.388065	2200000	2.8991698e-09	24053.572	-0.0025239123	-1700.5977	0.9902767	0.010075273	61.17793083190918	1.0
11	68.23528	51.051582	231.70071	-136.8384	-2058.0032	1198.0803	-12.291525	-6035.4487	230.5	-45639730.0	-19.016553333333334	-14.880946	15.755897	34.59359	-37.25089	2400000	9.155273e-10	37231.164	-0.0018900696	-5859.715	1.0079626	0.00861282	65.94846153259277	1.0
12	83.219925	53.92227	292.10666	0.7079355	-2376.2227	1460.1351	-12.519235	-8109.065	267.4	-48992092.0	-18.84311230769231	-32.691895	17.257029	39.719753	-42.45254	2600000	5.340576e-09	34873.105	-0.0016846667	-2421.2227	1.0157977	0.007880583	70.67628192901611	1.0
13	77.54464	45.652912	205.02968	-23.455038	-2305.2512	1426.1924	-9.815975	-7764.42	262.23215	-51981584.0	-18.56485142857143	-37.57956	21.863224	46.518536	-48.954624	2800000	-3.0517577e-09	23202.62	-0.002525419	-1160.9199	1.0225646	0.009260872	75.38110566139221	1.0
14	48.104725	22.447618	121.23231	0.74045694	-1439.774	660.7171	-9.923997	-4745.0186	165.89583	-56448836.0	-18.816278666666665	7.112025	46.946968	51.835556	-54.33374	3000000	3.890991e-09	47414.33	-0.00241422	-16540.967	1.028664	0.00902781	80.14296460151672	1.0
15	38.50617	17.697714	71.63353	0.8162507	-1116.8518	426.2251	-6.5004787	-1839.7242	127.45	-62419724.0	-19.50616375	-24.783344	27.113256	37.934994	-56.64829	3200000	4.8828124e-09	71867.336	-0.003110211	-12693.344	1.018899	0.011846466	84.90209317207336	1.0
16	8.097328	89.62132	66.19337	-227.29182	-2235.1616	2204.6802	-981.2233	-7906.176	240.625	-69145960.0	-20.33704705882353	-54.196484	12.501613	26.248024	-62.328037	3400000	-3.0517577e-09	78705.2	-0.0012576253	-5508.336	1.0093807	0.005375546	89.60795640945435	1.0
17	40.07012	25.347876	69.8826	0.8884331	-1108.0302	666.50555	-11.083384	-1677.0515	130.5	-75587140.0	-20.996426666666668	-36.15026	56.585823	63.394993	-72.81618	3600000	-1.5258789e-09	99408.055	-0.0012811829	-19967.148	1.0206342	0.009001044	94.2854974269867	1.0
18	58.623657	11.081897	73.5384	46.99789	-1642.2308	274.13214	-1343.4039	-2005.5356	191.66667	-81869450.0	-21.54459157894737	-62.427204	13.160877	61.751026	-79.9321	3800000	6.3323973e-09	97305.836	-0.0006251993	-7092.547	1.0622296	0.002640687	98.99255466461182	1.0
19	40.181484	28.838085	81.76817	-31.694677	-1348.9373	465.06003	-808.70886	-2305.22	152.1	-87761130.0	-21.940282	-74.07411	18.862411	67.80268	-87.97832	4000000	-1.4495849e-09	81068.17	-0.00085865776	-3921.2188	1.0545032	0.0045117144	103.7407898902893	1.0
20	30.76405	16.12672	44.946617	0.7203351	-939.74396	519.849	-10.740507	-1611.9537	112.2	-93951050.0	-22.369297142857143	-79.631996	21.062595	58.72942	-95.38207	4200000	1.4495849e-09	79547.32	-0.0027681598	-4129.8516	1.0523064	0.011358967	108.44961643218994	1.0
21	48.378166	13.923447	62.301613	34.45472	-1205.9172	328.83148	-877.0858	-1534.7488	141.0	-100304730.0	-22.79652909090909	-84.13523	17.791817	51.55238	-102.297714	4400000	1.8310546e-09	81160.88	-0.0011874645	-5541.164	1.0468342	0.005885598	113.1188976764679	1.0
22	35.64804	0.0	35.64804	35.64804	-1202.571	0.0	-1202.571	-1202.571	145.0	-106543150.0	-23.161554782608697	-98.16544	17.374546	27.675018	-108.80504	4600000	-2.4414062e-09	72248.84	-0.00033013412	-3633.6094	1.0269724	0.001247546	117.8407654762268	1.0
23	54.519638	18.504309	73.02395	36.01533	-1364.9749	459.78943	-905.1854	-1824.7643	156.0	-112452600.0	-23.427625	-104.72244	23.940756	32.740387	-115.16929	4800000	3.4332275e-09	50682.94	-0.00041552374	-1792.1719	1.026384	0.0016279923	122.58182883262634	1.0
24	51.99229	24.958673	114.00793	20.697235	-1335.7344	546.55475	-342.81277	-2157.89	144.8	-118343530.0	-23.6687056	-108.52482	29.19674	103.003685	-120.51305	5000000	-6.713867e-09	55189.594	-0.00059832033	-1813.2148	1.028179	0.003237279	127.2828164100647	1.0
25	34.57633	50.50117	99.74266	-73.5319	-1509.5222	969.42816	-11.220137	-3749.9934	157.54546	-123791930.0	-23.80614	-107.06905	34.78528	104.06516	-125.883125	5200000	-8.106231e-09	39538.594	-0.0019141538	-1682.7227	1.0232512	0.009229376	131.95796465873718	1.0
26	49.551422	29.528175	169.70607	0.7681717	-1252.7079	544.1949	-11.003831	-2913.5828	140.07692	-128593300.0	-23.813573333333334	-76.65157	57.2578	66.41707	-130.13318	5400000	-9.155273e-10	29403.814	-0.0028247808	-7467.08	1.0217373	0.010271731	136.68022537231445	1.0
27	32.424847	37.575912	108.76964	-139.07077	-1394.686	1344.9316	-8.769659	-8919.878	146.04225	-133013710.0	-23.752448571428573	-118.1255	15.098463	96.19136	-132.0759	5600000	9.155273e-10	26357.957	-0.0010357517	-810.6953	1.0245471	0.0031399496	141.5369987487793	1.0
28	31.941553	15.301828	86.99156	0.733014	-955.18823	361.74973	-10.904121	-1855.86	109.88636	-137462530.0	-23.700435862068964	-122.06733	17.29117	48.14143	-134.47281	5800000	4.196167e-09	29826.6	-0.0004274261	-807.05664	1.0267978	0.0019978457	146.27703261375427	1.0
29	38.874332	20.643917	95.05629	-13.987296	-1108.9883	511.32632	-8.483747	-2792.8516	128.82222	-141919200.0	-23.6532	-126.41793	18.196646	88.39759	-138.34117	6000000	2.0599364e-09	33823.887	-0.0010157396	-1001.78516	1.0279752	0.0062747826	150.9721281528473	1.0
30	45.47494	16.931988	76.939514	16.179804	-1087.5415	369.01715	-219.6914	-1863.5985	122.666664	-147333600.0	-23.763483870967743	-128.15874	22.128553	52.762787	-142.44482	6200000	3.5476684e-09	69375.88	-0.00049786136	-1985.4375	1.0207858	0.0021947143	155.6772232055664	1.0
31	44.34772	26.31363	132.06915	-2.8788414	-1218.071	642.5406	-9.607579	-3991.8623	133.46666	-153916260.0	-24.049415	-136.19708	17.576864	131.0988	-148.20885	6400000	-4.4250488e-09	119903.71	-0.00032506863	-3540.0	1.0228869	0.0014911578	160.44005227088928	1.0
32	26.519623	57.157677	74.88516	-263.5889	-1367.4733	2185.0247	-166.03801	-12646.039	129.03572	-161165310.0	-24.418986666666665	-142.59393	19.337946	137.18448	-155.92403	6600000	1.2359619e-08	142693.27	-0.0009569038	-4654.172	1.0227156	0.004339088	165.16994905471802	1.0
33	47.264393	22.287172	122.381805	0.76874405	-1162.4054	461.0352	-13.368067	-2634.119	130.10527	-169680030.0	-24.952945882352942	-154.17937	16.18716	78.01386	-164.11914	6800000	1.7547607e-09	195866.17	-0.0007884005	-7265.5312	1.0203215	0.0024501337	169.85476684570312	1.0
34	48.154602	22.522326	97.116234	12.832782	-1307.2816	401.01257	-784.1107	-2294.6677	145.58333	-178640340.0	-25.520048	-162.10889	20.992891	73.479774	-173.5678	7000000	-1.1444091e-09	201420.47	-0.00048221304	-6520.953	1.0235159	0.0021967252	174.58489394187927	1.0
35	56.888348	27.61404	105.5645	22.632502	-1461.4532	639.827	-713.55664	-2435.7058	159.0	-187812400.0	-26.085055555555556	-172.29555	21.813358	93.70935	-182.41972	7200000	-3.814697e-09	212317.12	-0.0005605772	-6862.0	1.0244905	0.0030986257	179.3000454902649	1.0
36	42.066784	27.64682	89.64074	11.217208	-1477.2357	727.53296	-195.4205	-2548.3584	161.28572	-197403460.0	-26.676142702702702	-180.94614	21.732122	123.73627	-191.23993	7400000	-5.8746337e-09	209292.53	-0.0010101155	-7261.1094	1.0380453	0.006264393	184.0207417011261	1.0
37	34.960766	0.0	34.960766	34.960766	-993.66907	0.0	-993.66907	-993.66907	114.0	-206876980.0	-27.220654736842107	-187.32954	30.176844	-4.668707	-199.64024	7600000	-6.1035155e-10	199757.45	-0.0012982824	-5796.453	1.0423509	0.004475075	188.6989550590515	1.0
38	17.232876	20.46857	48.26891	0.7192774	-497.41046	612.461	-8.678429	-1447.6842	54.2	-216602270.0	-27.769522051282053	-192.28175	30.140057	65.463295	-207.06148	7800000	7.2479245e-10	199246.05	-0.0008542629	-7885.7188	1.0362334	0.0034201918	193.41784143447876	1.0
39	nan	nan	-inf	inf	nan	nan	-inf	inf	nan	-226050450.0	-28.256306	-206.76591	20.701414	120.59504	-214.64178	8000000	-2.9754639e-09	182069.0	-0.00026004776	-4517.1562	1.0428417	0.011758317	198.1359565258026	1.0
40	32.806286	1.0431356	33.849422	31.763151	-916.9735	35.87082	-881.1027	-952.84436	106.0	-234754580.0	-28.628606829268293	-208.76054	32.191055	60.014256	-221.37741	8200000	1.2969971e-09	144956.97	-0.0002910392	-3724.8594	1.0491271	0.002342813	202.86042094230652	1.0
41	36.95567	17.017397	61.930824	14.674914	-1472.0564	550.13336	-803.0535	-2186.1816	137.0	-243362290.0	-28.971700952380953	-218.60204	22.58895	31.212776	-226.98834	8400000	3.5858154e-09	136942.47	-0.0004988796	-2969.0938	1.0524108	0.0020931049	207.56767416000366	1.0
42	33.669952	14.48641	52.970295	6.9044876	-997.0898	455.7433	-116.43164	-1600.7617	111.833336	-251787500.0	-29.277616744186048	-222.1246	23.430607	20.830484	-232.1273	8600000	5.8746337e-09	133817.86	-0.0003643518	-2732.0312	1.0574296	0.00228557	212.28763842582703	1.0
43	44.96339	29.503054	79.63387	0.92361844	-1477.0359	945.3145	-9.353909	-2490.431	151.75	-260306160.0	-29.580245454545455	-229.32388	22.333677	103.18534	-237.26212	8800000	3.5095213e-09	135784.36	-0.0004054229	-2678.7344	1.0494428	0.0026299704	216.9896330833435	1.0
44	38.237774	17.41024	54.61685	0.7832765	-1129.7811	523.56354	-9.0368395	-1645.7458	121.85714	-268655520.0	-29.85061333333333	-233.5481	24.06657	123.64617	-242.45132	9000000	3.5858154e-09	128232.47	-0.00088565575	-2463.8281	1.048697	0.003893623	221.7223081588745	1.0
45	44.60913	7.7916713	54.63836	35.257324	-1592.8915	466.9045	-1094.8013	-2127.2983	167.25	-276742620.0	-30.08072	-235.62732	25.61979	90.44171	-247.25993	9200000	-6.3323973e-09	108482.66	-0.0010265146	-2078.7188	1.0593473	0.0042322413	226.43497514724731	1.0
46	27.147892	13.6229515	41.835667	0.93143284	-899.296	505.64423	-12.286137	-1387.9094	102.28571	-284439780.0	-30.259550638297874	-236.77748	32.524445	-18.158278	-251.77017	9400000	1.1444091e-09	97966.2	-0.0008726246	-1861.8203	1.0563362	0.003830625	231.1436505317688	1.0
47	33.64137	9.073437	45.61279	19.301186	-1212.0507	285.899	-1002.02454	-1771.9614	128.0	-291598880.0	-30.374883333333333	-222.33554	51.727264	-11.787424	-255.90111	9600000	-2.4414062e-09	76100.414	-0.0011186665	-2137.9844	1.0513883	0.0048657726	235.85054564476013	1.0
48	33.938034	6.8792844	41.528553	16.351412	-1061.5946	331.115	-222.78432	-1432.136	121.0	-298495650.0	-30.458739591836736	-231.92032	38.80486	127.54088	-259.20508	9800000	1.1444091e-09	59795.105	-0.0011109627	-1601.2188	1.0665133	0.010113087	240.59781956672668	1.0
49	32.42051	9.453374	53.591846	21.829779	-1055.898	289.96625	-691.1001	-1662.9723	121.125	-306018430.0	-30.6018432	-239.94237	29.76464	-10.453151	-262.02396	10000000	4.2724606e-09	71149.79	-0.0010937138	-3504.6328	1.0551459	0.0052906163	245.30316019058228	1.0
50	32.140915	0.0	32.140915	32.140915	-1152.2637	0.0	-1152.2637	-1152.2637	132.0	-313659140.0	-30.75089568627451	-247.5119	34.041412	80.02042	-265.2986	10200000	2.5177e-09	70623.46	-0.0008141057	-3107.5781	1.0490466	0.005547197	249.99287581443787	1.0
51	32.056187	0.47958374	32.53577	31.576603	-971.6504	55.605835	-916.04456	-1027.2562	113.0	-320932200.0	-30.858864615384615	-259.56555	17.673985	76.41643	-268.75974	10400000	-1.2207031e-09	64320.207	-0.00066120183	-1697.0859	1.042181	0.004114921	254.70241808891296	1.0
52	33.717262	4.935972	38.653233	28.781288	-1131.8241	182.81421	-949.0099	-1314.6383	131.0	-327784800.0	-30.92309433962264	-262.39163	22.144266	106.658875	-272.13263	10600000	-1.2969971e-09	49824.53	-0.00081014336	-941.45703	1.0463953	0.0034974364	259.5038242340088	1.0
53	33.865356	2.4102964	36.275654	31.455061	-1180.0054	65.82941	-1114.1759	-1245.8347	137.0	-334985540.0	-31.017179259259258	-261.41956	28.1666	104.53289	-274.72693	10800000	-3.2806395e-09	55357.84	-0.0009859491	-1005.6875	1.0316688	0.004852061	264.21976828575134	1.0
54	27.412386	4.3778296	38.36812	22.73983	-861.8656	143.3163	-658.1898	-1102.5831	101.545456	-342088640.0	-31.098967272727272	-259.7075	41.57062	183.79573	-277.4333	11000000	-1.6975402e-09	52472.668	-0.0006248046	-2152.039	1.0380402	0.0027585845	268.91800808906555	1.0
55	26.859442	7.054749	45.447258	16.471329	-875.5358	243.30017	-619.4584	-1545.0837	96.55	-349671840.0	-31.2207	-265.8441	33.250633	200.22342	-279.85477	11200000	2.9754639e-09	65844.14	-0.0011550293	-1403.7422	1.0415432	0.00679144	273.64726305007935	1.0
56	25.051455	4.482961	36.429794	15.009405	-727.0294	146.73907	-267.2283	-1203.4899	85.861115	-357655200.0	-31.373263157894737	-261.45383	36.600376	38.03004	-282.98138	11400000	-1.0681152e-09	78211.195	-0.0004995468	-6679.7266	1.0411041	0.0032731572	278.41179728507996	1.0
57	24.40845	7.457448	39.86634	0.7647974	-723.33466	241.47733	-12.045573	-1740.4238	81.953125	-365792030.0	-31.533795862068967	-281.72452	17.112696	178.09958	-286.55597	11600000	2.9754639e-09	78857.586	-0.00046832746	-1677.5938	1.0351566	0.00448635	283.14674186706543	1.0
58	26.581694	6.391375	39.97767	0.8239876	-743.48	173.49348	-9.392138	-1122.2616	86.1579	-373673900.0	-31.667278644067796	-277.7865	25.34435	181.75395	-290.41483	11800000	6.1035155e-10	73512.945	-0.001164452	-2224.211	1.0343099	0.0058939923	287.857031583786	1.0
59	26.992647	7.6240664	52.615646	19.082699	-768.1853	152.90823	-573.5987	-1230.339	90.5625	-380897950.0	-31.741496	-272.63293	33.076084	194.6867	-294.45276	12000000	2.670288e-09	56434.668	-0.00059459097	-2710.8281	1.0313083	0.0034084646	292.56308221817017	1.0
60	29.75143	7.6090837	47.83883	22.5238	-852.1569	158.17136	-690.60785	-1146.7273	97.73333	-387596380.0	-31.770195409836067	-273.81183	37.48131	151.46568	-297.69614	12200000	2.670288e-09	41342.32	-0.0011997824	-2005.0117	1.0309929	0.00547834	297.3231565952301	1.0
61	26.701447	7.45689	46.379765	20.087463	-784.00385	205.68535	-581.8	-1326.9487	92.22222	-393761570.0	-31.754965161290322	-267.51105	47.72086	194.72711	-299.47256	12400000	-1.1444091e-09	33661.0	-0.0018784554	-2042.8711	1.0206964	0.010030785	302.0655529499054	1.0
62	31.560741	10.911714	54.067547	17.549965	-867.52026	322.16483	-303.3869	-1413.9476	99.375	-399634780.0	-31.71704634920635	-261.01257	46.536655	202.10103	-300.47882	12600000	-3.5095213e-09	29186.584	-0.0016217934	-1652.5918	1.0223117	0.008264193	306.77381587028503	1.0
63	19.281546	9.364268	25.085707	0.7556571	-675.5572	369.24045	-6.037192	-1106.6399	82.0	-405720000.0	-31.696875	-250.43358	50.224396	146.90286	-301.37515	12800000	4.8828124e-09	30009.922	-0.0040493165	-3376.916	1.0236574	0.013445317	311.4906849861145	1.0
64	23.514322	7.561412	39.073135	-2.8175132	-816.09894	377.0094	-10.934921	-2579.2253	91.51923	-411829500.0	-31.679192615384615	-236.03882	52.873634	197.19508	-301.813	13000000	-2.2888183e-10	30591.412	-0.00138276	-4975.992	1.0248605	0.006395847	316.2543833255768	1.0
65	23.605719	7.0170474	40.877132	0.8341031	-699.1148	240.08781	-8.359247	-1585.025	81.60227	-419013400.0	-31.74344	-254.26186	50.61043	116.65493	-298.24142	13200000	-2.670288e-10	50108.645	-0.0007567321	-3587.9375	1.0200603	0.0050097117	321.0059700012207	1.0
66	23.039795	7.1929564	35.210743	-16.710072	-715.8025	199.31859	-10.052567	-1760.1348	82.40741	-426233000.0	-31.80843223880597	-246.20694	67.52786	126.919106	-303.35727	13400000	7.629394e-11	51446.047	-0.001961945	-2181.9297	1.0189672	0.007792634	325.7500886917114	1.0
67	23.741848	6.647479	40.88173	0.8317695	-693.19385	221.22476	-11.323767	-2103.1072	80.71296	-433375780.0	-31.865865882352942	-232.20168	70.461334	179.1167	-305.70822	13600000	-6.4849853e-10	52355.758	-0.00014973892	-5614.1836	1.0180267	0.0033448415	330.50183153152466	1.0
68	24.47119	4.5971127	36.01773	0.8493399	-716.6337	143.01256	-9.296214	-1293.8303	83.854164	-440408830.0	-31.913683478260868	-263.26428	46.58817	107.04224	-308.412	13800000	2.861023e-09	45144.61	-0.00024627303	-874.4453	1.0174346	0.0014315386	335.2660765647888	1.0
69	23.332884	6.235147	41.04576	0.7432087	-685.03876	202.04582	-8.958572	-1276.8298	78.88421	-447476670.0	-31.96261942857143	-260.36084	47.072964	179.77635	-310.90536	14000000	-9.155273e-10	47146.992	-0.00047751886	-637.89453	1.020496	0.002461865	340.03549098968506	1.0
70	24.201797	5.315845	37.157585	0.8342877	-694.2338	169.3855	-8.884493	-1087.3398	81.25301	-454638900.0	-32.01682478873239	-260.2288	46.95823	165.09747	-313.22446	14200000	-9.536743e-10	46454.566	-0.00024159922	-1671.1367	1.013515	0.0021593862	344.77844405174255	1.0
71	24.668695	7.799201	52.28845	0.71310747	-732.05835	244.3624	-8.19607	-1649.7272	84.9863	-461448640.0	-32.04504444444444	-264.58212	36.416306	55.752243	-315.77597	14400000	-1.0681152e-09	40431.332	-0.0006179715	-1047.5859	1.0117813	0.004403622	349.5142683982849	1.0
72	26.469673	7.6108966	43.970505	-2.8684535	-801.5343	203.55504	-7.668407	-1359.8745	92.065575	-468434430.0	-32.0845501369863	-256.45316	35.458054	253.88383	-317.63834	14600000	-2.746582e-09	42784.79	-0.0009923063	-1676.3711	1.0123992	0.004762669	354.2614657878876	1.0
73	25.984945	8.714502	44.44248	0.73320365	-796.7341	303.8316	-11.193318	-1562.625	92.28571	-474715620.0	-32.07537945945946	-264.60446	31.083551	211.815	-319.6343	14800000	1.9836426e-09	30581.834	-0.0005692937	-783.72656	1.013948	0.0024936239	359.0232644081116	1.0
74	24.54889	7.5050707	41.62185	0.715436	-779.1536	297.2233	-12.002568	-1788.4478	89.57407	-481298460.0	-32.08656426666667	-248.01591	41.499084	211.64435	-319.76236	15000000	7.6293943e-10	37891.84	-0.00061056536	-1672.9141	1.0094134	0.00294609	363.7676372528076	1.0
75	21.907166	10.934917	39.127655	-29.953682	-701.4811	278.67828	-9.181179	-1434.8427	80.78378	-488328540.0	-32.12687789473684	-267.444	30.793104	269.75305	-321.70764	15200000	-2.4414062e-09	45368.566	-0.00043534132	-1303.082	1.0112457	0.0016114549	368.4964315891266	1.0
76	23.703678	8.115392	62.0065	0.72643006	-674.3022	212.13832	-10.264292	-1330.2273	78.12857	-495706100.0	-32.18870857142857	-284.02277	35.389683	206.42531	-324.2141	15400000	9.918213e-10	50902.53	-0.00048531615	-862.47266	1.015702	0.0020005426	373.2630603313446	1.0
77	21.69518	6.8066316	40.50029	0.74042517	-628.5612	204.45872	-9.965516	-1123.0046	73.697914	-503301020.0	-32.26288615384615	-289.24557	36.40214	193.13513	-327.5419	15600000	-7.629394e-11	58669.664	-0.0007421146	-1479.8945	1.0162488	0.0035147113	378.06008100509644	1.0
78	21.068665	6.5238633	35.954315	0.7057252	-652.2727	263.40982	-9.46887	-2227.381	74.73418	-511375230.0	-32.36552101265823	-296.66287	44.16316	226.55447	-331.6122	15800000	8.3923335e-10	68035.664	-0.00010554748	-1571.8906	1.0186706	0.0026405142	382.79860663414	1.0
79	20.658003	6.710211	35.005604	0.74906856	-597.2082	188.2835	-9.237568	-915.1992	70.177216	-519454820.0	-32.465926	-304.86642	37.991776	167.71991	-336.83606	16000000	-2.2888183e-10	65715.76	-0.00022906081	-1330.8906	1.0221137	0.0023988644	387.5066878795624	1.0
80	23.377195	7.176342	43.148907	-6.597703	-682.99023	217.45157	-10.007689	-1733.1436	78.83077	-527119800.0	-32.53825975308642	-296.87115	44.629635	285.18982	-341.65558	16200000	4.59671e-09	56082.312	-0.001092834	-987.34375	1.024037	0.0073991814	392.24026441574097	1.0
81	24.023497	3.1307256	33.218197	18.2622	-711.0096	96.27144	-558.39996	-997.12213	84.27907	-534405470.0	-32.58569951219512	-288.2491	47.74881	229.92941	-345.58435	16400000	-1.6784667e-09	46842.7	-0.0009722429	-2724.8086	1.0262606	0.0058446997	397.01928305625916	1.0
82	24.270468	4.297939	42.146637	20.345928	-759.6047	219.36313	-372.04797	-1564.6619	89.708336	-541880770.0	-32.64341975903614	-304.08783	29.772755	276.30478	-348.07996	16600000	-3.3950804e-09	45071.234	-0.0006315506	-3489.3047	1.0294989	0.0024513481	401.7644772529602	1.0
83	23.870544	10.146366	41.893906	0.7543814	-697.42035	326.71323	-8.315426	-1154.5798	80.15625	-549126340.0	-32.68609142857143	-322.75745	28.013311	164.0133	-350.11896	16800000	1.5258789e-09	38764.137	-0.00036635535	-965.95703	1.0264615	0.0023782642	406.4728355407715	1.0
84	28.168835	7.6423073	43.076946	0.9544323	-901.18634	254.5163	-12.3428135	-1311.6243	105.39286	-556441900.0	-32.73187764705882	-328.5023	34.73233	147.62712	-350.97653	17000000	7.629394e-11	39344.78	-0.0007810881	-459.90234	1.026118	0.0035451557	411.1949827671051	1.0
85	31.833643	8.88821	60.34752	18.3884	-927.45667	219.58658	-467.02728	-1523.8021	105.47059	-564043400.0	-32.79322046511628	-325.7064	40.18304	264.57922	-352.54675	17200000	-3.2806395e-09	44288.195	-0.00047987746	-872.77734	1.031153	0.0018813595	415.9577832221985	1.0
86	26.161104	9.951133	44.532875	0.7310853	-786.6052	299.11566	-12.687944	-1380.8762	91.478264	-571498750.0	-32.844755862068965	-320.01508	46.013294	282.89172	-354.94415	17400000	4.9591065e-10	41857.977	-0.0006826105	-1183.5273	1.0342433	0.0021721204	420.6797630786896	1.0
87	28.064562	12.278191	62.352276	-15.345201	-932.12256	310.30038	-6.8490753	-1809.9592	103.8421	-578799500.0	-32.886334545454545	-327.11807	44.289406	174.87703	-357.40958	17600000	9.155273e-10	39952.926	-0.00074911804	-613.96094	1.0419236	0.0035806103	425.39375257492065	1.0
88	26.105528	6.906557	44.378098	0.8731605	-914.518	256.97278	-12.732766	-1477.3424	107.82143	-585958400.0	-32.919011235955054	-322.76712	44.843117	257.0696	-359.5814	17800000	2.0980835e-09	37065.047	-0.0007082792	-888.8086	1.0465086	0.003025571	430.12360548973083	1.0
89	22.836365	11.925598	32.98003	-37.924862	-928.8838	262.34998	-547.4059	-1707.3365	103.030304	-593327550.0	-32.962641777777776	-325.1096	50.244083	237.49466	-361.21414	18000000	-1.5258789e-10	39233.887	-0.00044743757	-889.5508	1.0468786	0.001474366	434.8805236816406	1.0
90	24.230368	9.655254	37.96528	-6.7163296	-978.7185	336.97397	-353.60486	-2175.85	106.97059	-600703700.0	-33.00569670329671	-322.61737	60.373344	316.55875	-363.8061	18200000	2.1362303e-09	39488.46	-0.0013343404	-697.6211	1.0468551	0.0068573407	439.61373686790466	1.0
91	23.76172	3.4649901	30.985811	17.205017	-814.23706	164.98055	-398.84628	-1209.4697	96.85714	-608006400.0	-33.04382608695652	-331.39594	57.919765	313.66193	-366.2486	18400000	-1.1444091e-09	41113.26	-0.00042356446	-521.4922	1.0408714	0.0025743651	444.33614706993103	1.0
92	22.177542	7.6814256	39.40893	0.7021018	-742.1337	303.51962	-8.537455	-1633.77	85.929825	-615520450.0	-33.092497204301075	-330.59717	57.52267	229.79611	-368.20502	18600000	2.3078919e-09	45691.156	-0.000757032	-649.46094	1.0385144	0.005117683	449.0870451927185	1.0
