Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	EpochS
0	180.59908	0.0	180.59908	180.59908	-4618.1504	0.0	-4618.1504	-4618.1504	519.0	-2534325.0	-12.671625	-0.1462306	0.18531029	0.59216	-0.8617524	200000	-2.5939941e-09	15833.488	-0.0033133694	-1420.959	0.9189385	0.013462547	14.24426007270813	1.0
1	119.9767	70.83554	244.94952	0.8215604	-2921.5356	1640.286	-9.634248	-5715.2266	325.85715	-5853855.0	-14.6346375	-5.912031	7.18212	9.060695	-9.41227	400000	1.2207031e-09	43055.574	-0.0018418361	-2470.5586	0.9018414	0.008230341	18.916836977005005	1.0
2	94.682205	57.42303	236.60045	-13.650536	-2639.6785	1191.7036	-8.507851	-5189.4805	292.11765	-9202343.0	-15.337238333333334	-8.193817	14.596834	16.398592	-16.960253	600000	1.1978149e-08	35222.03	-0.00044434945	-1375.582	0.9217092	0.0023353403	23.604607582092285	1.0
3	84.5782	54.300518	230.09886	-96.65124	-2438.156	1060.8328	-9.271126	-4697.9673	270.38095	-12420384.0	-15.52548	-11.78238	18.713892	21.618135	-22.35869	800000	5.3596496e-09	31373.459	-0.0012886897	-1256.2227	0.9289571	0.0065319943	28.319041967391968	1.0
4	67.636154	39.12599	242.60413	-50.991943	-1943.9312	1084.7667	-253.71605	-6467.465	209.25	-15553132.0	-15.553132	-3.185167	26.815865	26.55038	-27.455542	1000000	2.5939941e-09	17190.883	-0.0011959968	-83.52734	0.919332	0.003159279	33.014257192611694	1.0
5	49.596752	23.288721	102.29057	0.801249	-1367.5281	649.37244	-5.314169	-3282.664	151.65909	-18927134.0	-15.772611666666666	-4.817503	28.075624	27.93711	-28.97089	1200000	7.667541e-09	21881.732	-0.0009263317	-34.75	0.93550676	0.0036134399	37.68286681175232	1.0
6	45.7144	14.893137	79.21062	0.76342595	-1394.8652	542.4618	-6.9206944	-3443.2883	152.96875	-22780508.0	-16.27179142857143	4.9071226	28.509726	28.524672	-29.705612	1400000	4.196167e-09	27330.451	-0.0017288007	-707.9414	0.9410274	0.008106746	42.36061429977417	1.0
7	25.059032	86.73854	168.471	-363.64896	-1583.2689	1295.2339	-11.17505	-6219.4424	193.34616	-27737212.0	-17.3357575	16.39041	15.414481	22.377405	-24.52298	1600000	7.6293943e-10	44641.85	-0.0020040318	-9285.523	0.963023	0.008069204	47.07200789451599	1.0
8	22.39352	85.80371	73.689865	-426.5171	-1629.5997	1229.9996	-8.210059	-7354.482	166.52632	-33033032.0	-18.351684444444444	-11.566795	3.1428788	10.524171	-15.1933365	1800000	-2.2888182e-09	37915.17	-0.0010336034	-4328.168	0.9702189	0.0048130793	51.765005111694336	1.0
9	43.889114	47.3393	123.13101	-142.63852	-1932.9402	995.22485	-429.04465	-5561.3936	210.36586	-37746964.0	-18.873482	-23.58496	13.703131	26.64591	-28.483604	2000000	-4.196167e-09	25898.67	-0.0013138867	-945.9512	0.9833239	0.0062274374	56.441614627838135	1.0
